Z_ion,A_ion,Z_target,A_target,a,b
2,4,4,9,7.353278247520779,1.653072897132378
2,4,6,12,6.326447870927913,1.6460072050764811
2,4,12,24,8.30092766012611,1.6360153580008954
2,4,13,27,7.23313178383739,1.6368126741917315
2,4,14,28,6.814217029190791,1.6404351617005157
2,4,20,40,9.18044047795594,1.6323835010163792
2,4,22,48,5.1104637947645415,1.630718509577408
2,4,24,52,3.712449950180276,1.642842811468293
2,4,26,56,3.761657972942275,1.6258080882002848
2,4,28,58,3.503931280601882,1.6231861996512096
2,4,29,63,3.3385444595552225,1.6425406245377419
2,4,32,72,5.2574416589079425,1.6140471711571491
3,7,14,28,5.76396448087503,1.6437643783531006
4,9,14,28,4.802037340295451,1.64027497091667
5,11,14,28,4.1374959551172985,1.6401060430803969
6,12,14,28,3.5108943620480626,1.6389783877295938
7,14,14,28,3.01124155603003,1.6533310141629374
8,16,14,28,3.0660197923876544,1.6299602647343276
9,19,14,28,3.085056651550594,1.6170607764988822
10,20,14,28,2.5766834140009696,1.638486698480991
11,23,14,28,2.5037927112741833,1.6379541429623263
12,24,14,28,2.3173184408486645,1.637299769668788
13,27,14,28,2.226276006549206,1.6412670846447819
14,28,14,28,2.122491217560689,1.6358337665520941
15,31,14,28,2.0832790094256226,1.6350284005933238
16,32,14,28,1.9887751131654134,1.6319111481968323
17,35,14,28,1.9406392227807963,1.6331734406230403
19,39,14,28,1.825821256220922,1.6310728997132815
18,40,14,28,1.9719449410783136,1.632193657748
20,40,14,28,1.749853144655217,1.6299231081389265
